objectid,pghdb_sde_zoning_area,perimeter,zoning,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_area,shape_length
56,5873044.68681252,17599.97448299,57,57,R1D-L,17599.974483,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,b81fbeb3-eb9a-4063-99d6-a657f05b3289,,,,,5873044.68682861,17599.9744829437
57,177992.66361127,2757.09608888,58,58,P,2757.09608888,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,1f10fe4a-94db-4f0f-bb52-d0881a66f6a4,,,,,177992.663604736,2757.09608894023
58,245268.32193667,2693.9776922,59,59,R2-L,2693.9776922,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,f319fa06-8a4d-4d66-9cdb-dcab854469f8,,,,,245268.321899414,2693.9776922295
59,5158799.56040577,19426.86801172,60,60,R1D-L,19426.8680117,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,5e23eee6-8592-4575-bb0b-af5b4dcf6585,,,,,5158799.5602417,19426.8680117364
60,2973046.93403632,13304.85795809,61,61,P,13304.8579581,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,46028a41-4440-425b-bf85-01dd5c0650e3,,,,,2973046.93408203,13304.8579581366
61,950843.02620888,7790.16725159,62,62,LNC,7790.16725159,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,12571fa7-4787-4e7e-8383-d3c97e5ce507,,,,,950843.026153564,7790.16725157443
62,1013191.52113064,5797.33018064,63,63,H,5797.33018064,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved,3695e996-4355-4911-b97c-991238e2594b,,,,,1013191.52124023,5797.33018061163
63,230771.52609494,3515.94710752,64,64,P,3515.94710752,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,5501f295-165c-4e1f-872e-751d826f52f0,,,,,230771.526092529,3515.94710753976
64,670018.31465584,4436.88698799,67,67,R2-H,4436.88698799,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,9b8cbe6f-0078-49c7-87b6-ba2dccd01b69,,,,,670018.314849854,4436.88698804783
65,617391.70620212,6614.25896867,68,68,P,6614.25896867,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,550372ce-b681-4b2c-9cf0-3bfd9534a12d,,,,,617391.706207275,6614.25896861584
